ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60666,15,04/05/2020,04/11/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,0,60666-15,POINT (-87.896371 41.979511)
60666,14,03/29/2020,04/04/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,0,60666-14,POINT (-87.896371 41.979511)
60607,23,05/31/2020,06/06/2020,5,445,17,1503.8,174,1919,588,6485.1,0.0,0.2,0,4,0.0,13.5,29591,60607-23,POINT (-87.652727 41.876104)
60601,14,03/29/2020,04/04/2020,5,28,34,190.8,22,101,150,688.2,0.2,0.3,0,0,0.0,0.0,14675,60601-14,POINT (-87.622844 41.886262)
60602,24,06/07/2020,06/13/2020,0,13,0,1045,17,140,1367,11254,0.0,0.1,0,0,0.0,0.0,1244,60602-24,POINT (-87.628309 41.883136)
60619,25,06/14/2020,06/20/2020,21,944,34,1541,530,6910,865,11280.2,0.0,0.1,2,62,3.3,101.2,61258,60619-25,POINT (-87.60569 41.744737)
60618,11,03/08/2020,03/14/2020,5,6,5,6.4,17,18,18,19.1,0.3,0.3,0,0,0.0,0.0,94395,60618-11,POINT (-87.703343 41.946699)
60655,11,03/08/2020,03/14/2020,,,,,5,5,17,17.4,,,0,0,0.0,0.0,28804,60655-11,POINT (-87.701434 41.696456)
60629,36,08/30/2020,09/05/2020,171,4919,153,4397.9,1030,22291,921,19929.4,0.2,0.2,4,113,3.6,101.0,111850,60629-36,POINT (-87.711565 41.777061)
60636,12,03/15/2020,03/21/2020,12,14,37,43.5,47,53,146,164.6,0.3,0.3,1,1,3.1,3.1,32203,60636-12,POINT (-87.668597 41.77599)
60631,25,06/14/2020,06/20/2020,19,329,64,1114.2,294,3053,996,10339,0.1,0.1,6,31,20.3,105.0,29529,60631-25,POINT (-87.813371 41.995019)
60631,26,06/21/2020,06/27/2020,16,345,54,1168.3,303,3356,1026,11365.1,0.1,0.1,4,35,13.5,118.5,29529,60631-26,POINT (-87.813371 41.995019)
60631,27,06/28/2020,07/04/2020,25,370,85,1253,377,3733,1277,12641.8,0.1,0.1,1,36,3.4,121.9,29529,60631-27,POINT (-87.813371 41.995019)
60631,28,07/05/2020,07/11/2020,14,384,47,1300.4,302,4035,1023,13664.5,0.0,0.1,2,38,6.8,128.7,29529,60631-28,POINT (-87.813371 41.995019)
60631,29,07/12/2020,07/18/2020,17,401,58,1358,364,4399,1233,14897.2,0.0,0.1,2,40,6.8,135.5,29529,60631-29,POINT (-87.813371 41.995019)
60631,30,07/19/2020,07/25/2020,26,427,88,1446,335,4734,1134,16031.7,0.1,0.1,0,40,0.0,135.5,29529,60631-30,POINT (-87.813371 41.995019)
60631,31,07/26/2020,08/01/2020,21,448,71,1517.2,317,5051,1074,17105.2,0.1,0.1,2,42,6.8,142.2,29529,60631-31,POINT (-87.813371 41.995019)
